goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,7,Sub,Napoli,Sampdoria,1,0,2022-01-09,16961,2021,507329,0,0,0,0,0,0.08473429828882217,0.08473429828882217
0,0,0,1,Sub,Norwich,Aston Villa,0,2,2021-12-14,16541,2021,503061,0,0,0,0,0,0,0
0,0,0,3,Sub,Aston Villa,Leicester,2,1,2021-12-05,16516,2021,500873,0,0,0,0,0,0,0
0,0,0,90,DC,Southampton,Aston Villa,1,0,2021-11-05,16484,2021,493620,0,0,0,0,0,0,0
0,0,0,52,DC,Arsenal,Aston Villa,3,1,2021-10-22,16456,2021,489558,0,0,0,0,0,0,0
0,0,0,90,DC,Aston Villa,Wolverhampton Wanderers,2,3,2021-10-16,16447,2021,488073,0,0,0,0,0,0.7130950093269348,0.7130950093269348
0,1,0.09604059904813766,90,DC,Aston Villa,Everton,3,0,2021-09-18,16422,2021,482360,0,0,0,0,0.09604059904813766,0.07855589687824249,0.07855589687824249
0,0,0,90,DC,Chelsea,Aston Villa,3,0,2021-09-11,16413,2021,480537,0,0,0,0,0,0.034011200070381165,0.034011200070381165
0,1,0.05882750079035759,90,DC,Aston Villa,Brentford,1,1,2021-08-28,16399,2021,478940,0,0,0,0,0.05882750079035759,0.06309589743614197,0.06309589743614197
0,0,0,1,Sub,Aston Villa,Newcastle United,2,0,2021-08-21,16388,2021,476943,0,0,0,0,0,0,0
0,0,0,90,DC,Wolverhampton Wanderers,Manchester United,1,2,2021-05-23,14814,2020,473491,0,0,0,0,0,0.4084649980068207,0.4084649980068207
0,0,0,90,DC,Manchester United,Fulham,1,1,2021-05-18,14800,2020,472294,0,0,0,0,0,0.014647900126874447,0.014647900126874447
0,0,0,90,DC,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469897,0,0,0,0,0,0,0
0,0,0,1,Sub,Manchester United,Everton,3,3,2021-02-06,14660,2020,447938,0,0,0,0,0,0,0
0,0,0,86,DC,Manchester United,Sheffield United,1,2,2021-01-27,14628,2020,445204,0,0,0,0,0,0.5835540294647217,0.5835540294647217
0,0,0,1,Sub,Burnley,Manchester United,0,1,2021-01-12,14088,2020,441841,0,0,0,0,0,0,0
0,0,0,1,Sub,Manchester United,Aston Villa,2,1,2021-01-01,14596,2020,438881,0,0,0,0,0,0,0
0,0,0,23,Sub,Leicester,Manchester United,2,2,2020-12-26,14579,2020,438073,0,0,0,0,0,0,0
0,0,0,19,Sub,Everton,Manchester United,1,3,2020-11-07,14509,2020,426060,0,0,0,0,0,0.07169459760189056,0.07169459760189056
0,0,0,1,Sub,Manchester City,Manchester United,1,2,2019-12-07,11797,2019,368546,0,0,0,0,0,0,0
0,0,0,4,Sub,Sheffield United,Manchester United,3,3,2019-11-24,11770,2019,365595,0,0,0,0,0,0.09699580073356628,0.09699580073356628
0,0,0,90,DC,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357155,0,0,0,0,0,0,0
0,0,0,90,DL,Manchester United,Arsenal,1,1,2019-09-30,11712,2019,355778,0,0,0,0,0,0.07685349881649017,0.07685349881649017
0,0,0,1,Sub,Manchester United,Leicester,1,0,2019-09-14,11684,2019,349022,0,0,0,0,0,0,0
0,0,0,1,Sub,Everton,Manchester United,0,2,2018-01-01,7333,2017,206516,0,0,0,0,0,0,0
0,1,0.016571899875998497,90,MC,Manchester United,Crystal Palace,2,0,2017-05-21,3516,2016,125308,0.05508879944682121,0,1,0,0.016571899875998497,0.23243699967861176,0.23243699967861176
0,1,0.023749899119138718,65,DMC,Southampton,Manchester United,0,0,2017-05-17,3412,2016,132965,0,0,0,0,0.023749899119138718,0.03909730166196823,0.01534739974886179
0,0,0,62,DMC,Tottenham,Manchester United,2,1,2017-05-14,3507,2016,133895,0,0,0,0,0,0,0
0,0,0,90,DR,Arsenal,Manchester United,2,0,2017-05-07,3490,2016,134691,0,0,0,0,0,0,0
