assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,471,126,0,0,0.0,0.0,2020-12-15T18:00:00Z,0,5,0,0,0,0,13,0,74523,1,2,0.0,0,-1952,66,2018,41,True,0
0,0,0,0,0.0,471,130,0,0,0.0,0.0,2020-12-21T17:30:00Z,0,4,0,0,0,0,14,0,72551,1,2,0.0,0,-2029,12,2041,41,False,0
0,0,0,0,0.0,471,148,0,0,0.0,0.0,2020-12-27T19:15:00Z,0,17,0,0,0,0,15,0,69861,1,1,0.0,0,-2631,27,2658,41,True,0
0,0,0,0,0.0,471,154,0,0,0.0,0.0,2020-12-29T20:00:00Z,0,13,0,0,0,0,16,0,68091,0,1,0.0,0,-1849,5,1854,41,False,0
0,0,0,0,0.0,471,159,0,0,0.0,0.0,2021-01-02T17:30:00Z,0,3,0,0,0,0,17,0,66711,3,3,0.0,0,-1392,13,1405,41,False,0
0,0,0,0,0.0,471,176,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,7,0,0,0,0,18,0,63927,2,1,0.0,0,-1768,23,1791,41,True,0
0,0,0,0,0.0,471,188,0,0,0.0,0.0,2021-01-16T12:30:00Z,0,18,0,0,0,0,19,0,63766,3,2,0.0,0,-1110,4,1114,41,True,0
0,0,0,0,0.0,471,194,0,0,0.0,0.0,2021-01-27T18:00:00Z,0,5,0,0,0,0,20,0,62803,0,0,0.0,0,-1121,0,1121,41,False,0
0,0,0,0,0.0,471,202,0,0,0.0,0.0,2021-01-30T15:00:00Z,0,6,0,0,0,0,21,0,62113,0,1,0.0,0,-700,0,700,41,False,0
0,0,0,0,0.0,471,215,0,0,0.0,0.0,2021-02-02T18:00:00Z,0,1,0,0,0,0,22,0,61599,1,2,0.0,0,-532,0,532,41,True,0
0,0,0,0,0.0,471,228,0,0,0.0,0.0,2021-02-07T14:00:00Z,0,9,0,0,0,0,23,0,60964,0,0,0.0,0,-614,0,614,41,True,0
0,0,0,0,0.0,471,236,0,0,0.0,0.0,2021-02-14T12:00:00Z,0,16,0,0,0,0,24,0,60219,2,1,0.0,0,-729,0,729,41,False,0
0,0,0,0,0.0,471,248,0,0,0.0,0.0,2021-02-19T20:00:00Z,0,10,0,0,0,0,25,0,59815,0,1,0.0,0,-445,0,445,41,True,0
0,0,0,0,0.0,471,255,0,0,0.0,0.0,2021-02-27T20:00:00Z,0,14,0,0,0,0,26,0,59227,1,1,0.0,0,-552,0,552,41,False,0
0,0,0,0,0.0,471,284,0,0,0.0,0.0,2021-03-02T20:00:00Z,0,12,0,0,0,0,26,0,59227,1,4,0.0,0,-552,0,552,41,False,0
0,0,0,0,0.0,471,259,0,0,0.0,0.0,2021-03-06T17:30:00Z,0,2,0,0,0,0,27,0,59031,0,0,0.0,0,-240,0,240,41,False,0
0,0,0,0,0.0,471,278,0,0,0.0,0.0,2021-03-15T20:00:00Z,0,11,0,0,0,0,28,0,58788,1,0,0.0,0,-251,0,251,41,True,0
0,0,0,0,0.0,471,298,0,0,0.0,0.0,2021-04-05T19:15:00Z,0,19,0,0,0,0,30,0,58468,3,2,0.0,0,-167,0,167,41,True,0
0,0,0,0,0.0,471,302,0,0,0.0,0.0,2021-04-09T19:00:00Z,0,8,0,0,0,0,31,0,58373,1,0,0.0,0,-100,0,100,41,False,0
0,0,0,0,0.0,471,318,0,0,0.0,0.0,2021-04-17T19:15:00Z,0,15,0,0,0,0,32,0,58241,0,1,0.0,0,-125,0,125,41,True,0
0,0,0,0,0.0,471,328,0,0,0.0,0.0,2021-04-25T11:00:00Z,0,4,0,0,0,0,33,0,58127,4,0,0.0,0,-109,0,109,41,True,0
0,0,0,0,0.0,471,338,0,0,0.0,0.0,2021-05-03T17:00:00Z,0,18,0,0,0,0,34,0,58052,1,1,0.0,0,-86,0,86,41,False,0
0,0,0,0,0.0,471,348,0,0,0.0,0.0,2021-05-09T11:00:00Z,0,3,0,0,0,0,35,0,57942,1,2,0.0,0,-102,0,102,41,True,0
0,0,0,0,0.0,471,358,0,0,0.0,0.0,2021-05-16T13:05:00Z,0,17,0,0,0,0,36,0,57870,0,2,0.0,0,-75,0,75,41,False,0
0,0,0,0,0.0,471,363,0,0,0.0,0.0,2021-05-19T17:00:00Z,0,7,0,0,0,0,37,0,57802,0,1,0.0,0,-74,0,74,41,False,0
0,0,0,0,0.0,471,378,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,13,0,0,0,0,38,0,57640,2,1,0.0,0,-145,0,145,41,True,0
