assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,52,202,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,6,0,0,0,0,21,0,663,1,1,0.0,0,-6,9,15,54,True,0
0,0,0,0,0.0,52,215,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,8,0,0,0,0,22,0,654,0,1,0.0,0,-10,6,16,54,False,0
0,0,0,0,0.0,52,222,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,2,0,0,0,0,23,0,655,1,1,0.0,0,1,5,4,54,True,0
0,0,0,0,0.0,52,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,3,0,0,0,0,24,0,660,1,3,0.0,0,6,10,4,54,False,0
0,0,0,0,0.0,52,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,19,0,0,0,0,25,0,654,3,3,0.0,0,-8,6,14,54,False,0
0,0,0,0,0.0,52,253,0,0,0.0,0.0,2020-02-08T17:30:00Z,0,18,0,0,0,0,26,0,655,1,1,0.0,0,0,14,14,54,True,0
0,0,0,0,0.0,52,268,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,15,0,0,0,0,27,0,659,1,1,0.0,0,3,12,9,54,False,0
0,0,0,0,0.0,52,273,0,0,0.0,0.0,2020-02-29T12:30:00Z,0,7,0,0,0,0,28,0,657,1,0,0.0,0,-4,8,12,54,True,0
0,0,0,0,0.0,52,290,0,0,0.0,0.0,2020-03-07T15:00:00Z,0,20,0,0,0,0,29,0,657,0,0,0.0,0,1,12,11,54,False,0
0,0,0,0,0.0,52,293,0,0,0.0,0.0,2020-06-20T14:00:00Z,0,1,0,0,0,0,39,0,656,1,2,0.0,0,-6,6,12,53,True,0
0,0,0,0,0.0,52,303,0,0,0.0,0.0,2020-06-23T17:00:00Z,0,9,0,0,0,0,40,0,659,0,0,0.0,0,3,12,9,53,False,0
0,0,0,0,0.0,52,314,0,0,0.0,0.0,2020-06-30T19:15:00Z,0,12,0,0,0,0,41,0,663,3,0,0.0,0,1,9,8,53,True,0
0,0,0,0,0.0,52,327,0,0,0.0,0.0,2020-07-04T11:30:00Z,0,14,0,0,0,0,42,0,664,1,0,0.0,0,0,11,11,53,False,0
0,0,0,0,0.0,52,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,10,0,0,0,0,43,0,659,3,1,0.0,0,-7,5,12,53,True,0
0,0,0,0,0.0,52,343,0,0,0.0,0.0,2020-07-11T19:00:00Z,0,11,0,0,0,0,44,0,660,5,0,0.0,0,-1,8,9,53,True,0
0,0,0,0,0.0,52,359,0,0,0.0,0.0,2020-07-16T19:15:00Z,0,16,0,0,0,0,45,0,655,1,1,0.0,0,-5,4,9,53,False,0
0,0,0,0,0.0,52,363,0,0,0.0,0.0,2020-07-20T17:00:00Z,0,13,0,0,0,0,46,0,662,0,0,0.0,0,6,12,6,53,True,0
0,0,0,0,0.0,52,372,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,5,0,0,0,0,47,0,672,2,1,0.0,0,5,27,22,53,False,0
