name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Pape Matar Sarr,MID,Spurs,2.0,1,0,29,1,4,18.7,10,593,0.22,0.22,0.00,0.94,6,0,0,5.4,33.2,2025-08-16T14:00:00Z,90,False,3,0,0,0,4,0,1,0,267148,1,2,0,3,2.0,6,0,0,0,50,True,0,1
Hákon Rafn Valdimarsson,GK,Brentford,1.0,0,0,0,0,0,0.0,0,105,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,101164,0,0,1,3,0.0,0,0,0,0,40,False,0,1
Toby Collyer,MID,Man Utd,0.5,0,0,0,0,0,0.0,0,460,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,11142,0,0,1,0,0.0,0,0,0,0,45,True,0,1
Marcos Senesi Barón,DEF,Bournemouth,0.9,0,0,1,0,12,14.6,15,72,0.05,0.05,0.00,2.21,1,4,0,4.3,26.6,2025-08-15T19:00:00Z,90,False,12,0,0,0,2,0,1,0,66685,1,3,2,4,2.0,2,0,0,0,45,False,0,1
Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,395,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,4,0,0,0,0,0,1,0,624,0,0,2,4,0.0,0,0,0,0,45,True,0,1
Alexis Mac Allister,MID,Liverpool,3.2,1,0,27,0,1,15.2,6,386,0.02,0.05,0.03,1.49,1,1,0,5.4,27.4,2025-08-15T19:00:00Z,71,False,4,0,0,0,2,0,1,0,150572,1,3,2,4,11.0,5,0,0,0,65,True,0,1
André Trindade da Costa Neto,MID,Wolves,1.5,0,0,16,0,3,1.7,15,643,0.01,0.01,0.00,2.22,7,3,0,1.7,15.6,2025-08-16T16:30:00Z,71,False,13,0,0,0,8,0,1,0,6500,1,4,4,0,0.0,4,0,0,0,55,True,0,1
Harrison Ashby,DEF,Newcastle,1.5,0,0,0,0,0,0.0,0,482,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,2,0,0,0,0,0,1,0,12407,0,0,0,0,0.0,0,0,0,0,40,False,0,1
Samuel Amissah,DEF,Fulham,1.0,0,0,0,0,0,0.0,0,323,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,6,0,0,0,0,0,1,0,15548,0,0,1,1,0.0,0,0,0,0,40,False,0,1
Luís Hemir Silva Semedo,FWD,Sunderland,0.5,0,0,0,0,0,0.0,0,563,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,17649,0,0,0,3,0.0,0,0,0,0,45,True,0,1
Adama Traoré Diarra,MID,Fulham,2.0,0,0,1,0,0,0.8,0,326,0.00,0.00,0.00,0.43,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,24,False,6,0,0,0,0,0,1,0,31362,0,0,1,1,0.0,1,0,0,0,55,False,0,1
Yasin Ayari,MID,Brighton,1.5,0,1,20,0,3,3.2,10,166,0.12,0.12,0.00,0.76,3,1,0,1.2,7.2,2025-08-16T14:00:00Z,90,False,10,0,0,0,6,0,1,0,20119,1,1,1,1,2.0,3,0,0,0,50,True,0,1
Mateo Kovačić,MID,Man City,0.0,0,0,0,0,0,0.0,0,422,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,20,0,0,0,0,0,1,0,1064,0,0,4,0,0.0,0,0,0,0,60,False,0,1
Thierno Barry,FWD,Everton,2.5,0,0,3,0,0,1.0,0,310,0.00,0.00,0.00,0.20,10,0,0,0.3,0.0,2025-08-18T19:00:00Z,4,False,11,0,0,0,0,0,1,0,70912,0,0,0,1,2.0,1,0,0,0,60,False,0,1
Ollie Scarles,DEF,West Ham,2.4,0,0,0,0,0,0.0,0,608,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,3366,0,0,0,3,0.0,0,0,0,0,45,False,0,1
Rico Lewis,DEF,Man City,3.1,1,2,41,1,5,13.1,6,410,0.59,0.59,0.00,0.35,7,0,0,5.0,29.2,2025-08-16T16:30:00Z,65,False,20,0,0,0,1,0,1,0,61558,1,1,4,0,8.0,11,0,0,0,50,False,0,1
Brenden Aaronson,MID,Leeds,1.5,0,0,10,0,0,24.9,2,350,0.21,0.21,0.00,0.47,10,0,0,4.0,9.2,2025-08-18T19:00:00Z,23,False,9,0,0,0,0,0,1,0,6703,0,2,0,1,6.0,1,0,0,0,55,True,0,1
Eliezer Mayenda Dossou,FWD,Sunderland,1.2,0,2,37,1,0,11.3,0,561,0.00,0.09,0.09,0.33,5,0,1,7.1,34.0,2025-08-16T14:00:00Z,75,False,19,0,0,0,0,0,1,0,27150,1,0,0,3,26.0,8,0,0,0,55,True,0,1
Steven Benda,GK,Fulham,0.0,0,0,0,0,0,0.0,0,315,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,6,0,0,0,0,0,1,0,970,0,0,1,1,0.0,0,0,0,0,40,False,0,1
Myles Lewis-Skelly,DEF,Arsenal,3.8,0,0,-1,0,1,0.0,1,10,0.00,0.00,0.00,0.66,9,0,0,0.0,0.2,2025-08-17T15:30:00Z,18,False,14,0,0,0,0,0,1,0,399029,0,0,1,0,0.0,0,0,0,0,55,False,1,1
Hugo Bueno López,DEF,Wolves,1.4,0,0,0,0,1,11.1,1,633,0.01,0.01,0.00,0.24,7,1,0,2.2,4.4,2025-08-16T16:30:00Z,18,False,13,0,0,0,2,0,1,0,7781,0,0,4,0,6.0,1,0,0,0,45,True,0,1
Milan Aleksić,MID,Sunderland,1.0,0,0,0,0,0,0.0,0,546,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,3560,0,0,0,3,0.0,0,0,0,0,50,True,0,1
Toti Gomes,DEF,Wolves,1.4,0,0,0,0,2,10.8,4,637,0.00,0.00,0.00,2.47,7,4,0,2.5,14.6,2025-08-16T16:30:00Z,90,False,13,0,0,0,4,0,1,0,16594,1,2,4,0,0.0,0,0,0,0,45,True,0,1
Ismaïla Sarr,MID,Crystal Palace,1.7,0,0,16,1,4,15.5,7,267,0.01,0.01,0.00,1.60,8,0,0,2.6,10.0,2025-08-17T13:00:00Z,90,False,7,0,0,0,3,0,1,0,502135,1,0,0,0,0.0,3,0,0,0,65,False,0,1
Abdukodir Khusanov,DEF,Man City,3.8,0,0,7,0,0,0.0,1,406,0.00,0.00,0.00,0.08,7,0,0,0.4,3.6,2025-08-16T16:30:00Z,8,False,20,0,0,0,0,0,1,0,33910,0,1,4,0,0.0,1,0,0,0,55,False,0,1
André Onana,GK,Man Utd,2.6,0,0,0,0,0,0.0,0,432,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,17015,0,0,1,0,0.0,0,0,0,0,50,True,0,1
Rio Cardines,MID,Crystal Palace,0.5,0,0,0,0,0,0.0,0,690,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,7,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,45,False,0,1
Alejandro Garnacho Ferreyra,MID,Man Utd,1.7,0,0,0,0,0,0.0,0,453,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,18209,0,0,1,0,0.0,0,0,0,0,65,True,0,1
Dan Neil,MID,Sunderland,1.0,0,0,0,0,0,0.0,0,549,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,3600,0,0,0,3,0.0,0,0,0,0,50,True,0,1
Kiernan Dewsbury-Hall,MID,Everton,2.0,0,0,15,0,2,27.4,6,242,0.24,0.24,0.00,2.07,10,1,0,4.2,12.6,2025-08-18T19:00:00Z,90,False,11,0,0,0,2,0,1,0,476441,1,2,0,1,2.0,2,0,0,0,50,False,0,1
Kieran Trippier,DEF,Newcastle,3.1,0,0,26,1,4,22.5,4,478,0.06,0.06,0.00,0.20,2,0,0,3.2,9.8,2025-08-16T11:30:00Z,90,False,2,0,0,0,4,0,1,0,179895,1,0,0,0,0.0,6,0,0,0,50,False,0,1
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,2.5,0,0,2,0,0,0.6,0,673,0.00,0.00,0.00,0.00,6,0,0,0.1,0.2,2025-08-16T14:00:00Z,10,False,3,0,0,0,0,0,1,0,38151,0,0,0,3,0.0,1,0,0,0,55,True,0,1
Tino Livramento,DEF,Newcastle,3.1,0,3,33,1,3,25.4,5,477,0.03,0.03,0.00,0.20,2,0,0,4.7,18.0,2025-08-16T11:30:00Z,90,False,2,0,0,0,5,0,1,0,340715,1,2,0,0,4.0,9,0,0,0,50,False,0,1
Issa Diop,DEF,Fulham,1.9,0,0,0,0,0,0.0,0,320,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,6,0,0,0,0,0,1,0,7811,0,0,1,1,0.0,0,0,0,0,45,False,0,1
Rasmus Højlund,FWD,Man Utd,1.7,0,0,0,0,0,0.0,0,465,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,59759,0,0,1,0,0.0,0,0,0,0,65,True,0,1
Dane Scarlett,FWD,Spurs,1.5,0,0,0,0,0,0.0,0,599,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,76280,0,0,0,3,0.0,0,0,0,0,45,True,0,1
Ezri Konsa Ngoyo,DEF,Aston Villa,1.4,0,0,15,1,3,1.1,3,38,0.01,0.01,0.00,1.11,2,0,0,0.3,1.8,2025-08-16T11:30:00Z,65,False,15,0,0,0,1,1,1,0,2210503,1,0,0,0,0.0,3,0,0,0,45,True,0,1
Caleb Kporha,DEF,Crystal Palace,0.0,0,0,0,0,0,0.0,0,265,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,7,0,0,0,0,0,1,0,2907,0,0,0,0,0.0,0,0,0,0,40,False,0,1
Archie Gray,MID,Spurs,2.0,0,0,13,1,2,3.0,8,591,0.05,0.05,0.00,0.89,6,0,0,0.9,3.6,2025-08-16T14:00:00Z,70,False,3,0,0,0,5,0,1,0,13480,1,1,0,3,2.0,3,0,0,0,50,True,0,1
Noah Sadiki,MID,Sunderland,1.0,0,0,6,1,5,3.8,9,552,0.01,0.01,0.00,0.56,5,0,0,1.5,11.0,2025-08-16T14:00:00Z,90,False,19,0,0,0,2,0,1,0,3593,1,2,0,3,0.0,3,0,0,0,50,True,0,1
Sávio Moreira de Oliveira,MID,Man City,0.0,0,0,0,0,0,0.0,0,415,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,20,0,0,0,0,0,1,0,115640,0,0,4,0,0.0,0,0,0,0,70,False,0,1
Nathan Collins,DEF,Brentford,2.6,0,0,0,0,5,0.2,5,106,0.00,0.02,0.02,1.86,4,3,0,1.5,9.8,2025-08-17T13:00:00Z,90,False,16,0,0,0,5,0,1,0,173943,1,0,1,3,5.0,0,0,0,0,50,False,1,1
Manuel Ugarte Ribeiro,MID,Man Utd,1.0,0,0,0,0,0,11.4,1,459,0.01,0.04,0.03,0.21,9,0,0,1.2,0.0,2025-08-17T15:30:00Z,25,False,1,0,0,0,1,0,1,0,16335,0,0,1,0,1.0,1,0,0,0,50,True,0,1
Lewis Hall,DEF,Newcastle,3.8,0,0,0,0,0,0.0,0,473,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,2,0,0,0,0,0,1,0,198399,0,0,0,0,0.0,0,0,0,0,55,False,0,1
Wesley Fofana,DEF,Chelsea,1.8,0,0,0,0,0,0.0,0,230,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,8,0,0,0,0,0,1,0,20068,0,0,0,0,0.0,0,0,0,0,45,True,0,1
Martial Godo,MID,Fulham,1.0,0,0,0,0,0,0.0,0,333,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,6,0,0,0,0,0,1,0,6788,0,0,1,1,0.0,0,0,0,0,45,False,0,1
Leo Fuhr Hjelde,DEF,Sunderland,0.0,0,0,0,0,0,0.0,0,536,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,545,0,0,0,3,0.0,0,0,0,0,40,True,0,1
Krisztián Hegyi,GK,West Ham,1.5,0,0,0,0,0,0.0,0,602,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,28199,0,0,0,3,0.0,0,0,0,0,40,False,0,1
Will Hughes,MID,Crystal Palace,1.0,0,0,7,1,6,0.1,9,270,0.00,0.00,0.00,1.22,8,0,0,1.5,14.4,2025-08-17T13:00:00Z,69,False,7,0,0,0,3,0,1,0,11049,1,0,0,0,0.0,2,0,0,0,50,False,1,1
Jadon Sancho,MID,Man Utd,1.6,0,0,0,0,0,0.0,0,456,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,10745,0,0,1,0,0.0,0,0,0,0,60,True,0,1
Micky van de Ven,DEF,Spurs,2.4,0,0,27,1,5,1.0,6,575,0.01,0.60,0.59,0.94,6,0,0,2.7,11.6,2025-08-16T14:00:00Z,90,False,3,0,0,0,4,0,1,0,2650169,1,1,0,3,14.0,6,0,0,0,45,True,0,1
Konstantinos Mavropanos,DEF,West Ham,2.4,0,0,0,0,0,0.0,0,606,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,5344,0,0,0,3,0.0,0,0,0,0,45,False,0,1
Emmanuel Agbadou,DEF,Wolves,1.4,0,0,-7,0,5,0.3,7,631,0.01,0.03,0.02,2.47,7,4,0,1.3,11.8,2025-08-16T16:30:00Z,90,False,13,0,0,0,2,0,1,0,43103,1,2,4,0,1.0,0,0,0,0,45,True,0,1
Oscar Bobb,MID,Man City,2.5,1,0,25,1,0,25.4,4,424,0.07,0.07,0.00,0.56,7,0,0,5.8,24.6,2025-08-16T16:30:00Z,90,False,20,0,0,0,4,0,1,0,9671,1,0,4,0,8.0,6,0,0,0,55,False,0,1
Oluwaseun Adewumi,MID,Burnley,0.0,0,0,0,0,0,0.0,0,212,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,3513,0,0,0,3,0.0,0,0,0,0,45,False,0,1
Jordan Henderson,MID,Brentford,1.5,0,0,2,0,0,1.1,3,124,0.00,0.00,0.00,0.00,4,0,0,0.1,0.0,2025-08-17T13:00:00Z,21,False,16,0,0,0,3,0,1,0,28255,0,0,1,3,0.0,1,0,0,0,50,False,0,1
Harry Wilson,MID,Fulham,2.0,1,0,16,0,1,5.4,6,329,0.02,0.09,0.07,1.48,3,1,0,2.1,3.0,2025-08-16T14:00:00Z,90,False,6,0,0,0,4,0,1,0,102174,1,1,1,1,13.0,5,0,0,0,55,False,0,1
Malick Thiaw,DEF,Newcastle,3.1,0,0,0,0,0,0.0,0,684,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,2,0,0,0,0,0,1,0,15050,0,0,0,0,0.0,0,0,0,0,50,False,0,1
Emerson Palmieri dos Santos,DEF,West Ham,2.4,0,0,0,0,0,0.0,0,604,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,21358,0,0,0,3,0.0,0,0,0,0,45,False,0,1
Trey Nyoni,MID,Liverpool,2.0,0,0,0,0,0,0.0,0,396,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,4,0,0,0,0,0,1,0,7885,0,0,2,4,0.0,0,0,0,0,45,True,0,1
Malo Gusto,DEF,Chelsea,3.1,0,0,2,0,0,1.3,0,228,0.00,0.02,0.02,0.05,8,0,0,0.2,0.0,2025-08-17T13:00:00Z,11,False,8,0,0,0,0,0,1,0,160818,0,0,0,0,1.0,1,0,0,0,50,True,0,1
Jérémy Doku,MID,Man City,2.7,0,0,4,1,0,3.2,1,418,0.02,0.02,0.00,0.35,7,0,0,0.6,0.0,2025-08-16T16:30:00Z,65,False,20,0,0,0,1,0,1,0,109378,1,0,4,0,4.0,3,0,0,0,65,False,0,1
Luis Guilherme Lira dos Santos,MID,West Ham,2.0,0,0,0,0,0,0.0,0,619,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,3179,0,0,0,3,0.0,0,0,0,0,50,False,0,1
Sebastiaan Bornauw,DEF,Leeds,0.4,0,0,0,0,0,0.0,0,345,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2025-08-18T19:00:00Z,0,False,9,0,0,0,0,0,1,0,6544,0,0,0,1,0.0,0,0,0,0,40,True,0,1
Kendry Páez Andrade,MID,Chelsea,0.0,0,0,0,0,0,0.0,0,248,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,8,0,0,0,0,0,1,0,1494,0,0,0,0,0.0,0,0,0,0,45,True,0,1
Asher Agbinone,MID,Crystal Palace,0.5,0,0,0,0,0,0.0,0,274,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,7,0,0,0,0,0,1,0,5499,0,0,0,0,0.0,0,0,0,0,45,False,0,1
Matz Sels,GK,Nott'm Forest,3.1,0,0,9,0,0,0.0,0,502,0.00,0.00,0.00,1.50,4,1,0,1.5,14.6,2025-08-17T13:00:00Z,90,False,5,0,0,0,7,0,1,2,2023172,1,0,1,3,0.0,2,0,0,0,50,True,0,1
Marko Stamenić,MID,Nott'm Forest,1.0,0,0,0,0,0,0.0,0,524,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,5,0,0,0,0,0,1,0,6596,0,0,1,3,0.0,0,0,0,0,45,True,0,1
Nathan Fraser,FWD,Wolves,0.5,0,0,0,0,0,0.0,0,658,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,13,0,0,0,0,0,1,0,221318,0,0,4,0,0.0,0,0,0,0,45,True,0,1
Evan Ferguson,FWD,Brighton,0.0,0,0,0,0,0,0.0,0,179,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,10,0,0,0,0,0,1,0,2506,0,0,1,1,0.0,0,0,0,0,55,True,0,1
Idrissa Gana Gueye,MID,Everton,2.5,0,0,12,0,0,19.6,5,302,0.12,0.18,0.06,2.07,10,1,0,3.0,7.2,2025-08-18T19:00:00Z,90,False,11,0,0,0,4,0,1,0,10149,1,1,0,1,3.0,2,0,0,0,55,False,0,1
Justin Devenny,MID,Crystal Palace,0.5,0,0,5,0,1,0.0,2,276,0.00,0.00,0.00,0.38,8,0,0,0.5,3.0,2025-08-17T13:00:00Z,6,False,7,0,0,0,0,0,1,0,190346,0,1,0,0,2.0,1,0,0,0,45,False,0,1
Karl Darlow,GK,Leeds,0.5,0,0,0,0,0,0.0,0,341,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2025-08-18T19:00:00Z,0,False,9,0,0,0,0,0,1,0,318054,0,0,0,1,0.0,0,0,0,0,40,True,0,1
Junior Kroupi,FWD,Bournemouth,0.0,0,0,2,0,0,0.0,0,100,0.00,0.00,0.00,0.11,1,1,0,0.0,0.0,2025-08-15T19:00:00Z,1,False,12,0,0,0,0,0,1,0,85883,0,0,2,4,0.0,1,0,0,0,45,False,0,1
Habib Diarra,MID,Sunderland,1.5,0,0,4,1,2,2.8,6,544,0.01,0.24,0.23,0.56,5,0,0,3.0,7.0,2025-08-16T14:00:00Z,90,False,19,0,0,0,3,0,1,0,10094,1,1,0,3,20.0,3,0,0,0,55,True,0,1
Luis Sinisterra Lucumí,MID,Bournemouth,0.1,0,0,0,0,0,0.0,0,91,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,4168,0,0,2,4,0.0,0,0,0,0,50,False,0,1
Antonín Kinský,GK,Spurs,1.5,0,0,0,0,0,0.0,0,567,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,214302,0,0,0,3,0.0,0,0,0,0,40,True,0,1
Jakub Kiwior,DEF,Arsenal,3.8,0,0,0,0,0,0.0,0,9,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,14,0,0,0,0,0,1,0,12048,0,0,1,0,0.0,0,0,0,0,55,False,0,1
Fábio Soares Silva,FWD,Wolves,0.9,0,0,0,0,0,0.0,0,655,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,13,0,0,0,0,0,1,0,54084,0,0,4,0,0.0,0,0,0,0,50,True,0,1
Đorđe Petrović,GK,Bournemouth,1.3,0,0,10,0,4,0.0,0,67,0.00,0.00,0.00,2.21,1,4,0,4.8,47.8,2025-08-15T19:00:00Z,90,False,12,0,0,0,8,0,1,6,288826,1,0,2,4,0.0,2,0,0,0,45,False,0,1
