assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,110,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,11,0,178968,0,0,2,0.0,0,-2496,1260,3756,40,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,115,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,12,0,172347,0,4,1,0.0,0,-6703,743,7446,40,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,13,0,169980,0,4,2,0.0,0,-2652,641,3293,40,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,134,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,14,0,167942,0,0,4,0.0,0,-2306,988,3294,40,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,150,0,0,0.0,0.0,2024-12-09T20:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,15,0,165226,0,1,2,0.0,0,-2773,559,3332,40,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,160,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,16,0,163436,0,2,1,0.0,0,-2179,782,2961,40,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,167,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,17,0,161157,0,3,0,0.0,0,-2365,381,2746,40,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,180,0,0,0.0,0.0,2024-12-26T17:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,18,0,157697,0,0,2,0.0,0,-3466,421,3887,40,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,189,0,0,0.0,0.0,2024-12-29T15:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,19,0,153723,0,2,2,0.0,0,-4187,610,4797,40,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,200,0,0,0.0,0.0,2025-01-06T20:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,20,0,150110,0,3,0,0.0,0,-3782,795,4577,40,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,210,0,0,0.0,0.0,2025-01-15T19:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,21,0,160492,0,0,3,0.0,0,6475,10890,4415,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,213,0,0,0.0,0.0,2025-01-20T20:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,22,0,163585,0,1,3,0.0,0,3439,6166,2727,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,230,0,0,0.0,0.0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,23,0,169353,0,1,0,0.0,0,4186,7744,3558,39,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2025-02-01T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,177250,0,0,2,0.0,0,4264,7534,3270,39,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,246,0,0,0.0,0.0,2025-02-16T14:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,25,0,180071,0,1,2,0.0,0,3114,6145,3031,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,253,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,26,0,180829,0,1,0,0.0,0,1379,3780,2401,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,267,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,27,0,182568,0,2,1,0.0,0,1118,3891,2773,39,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,280,0,0,0.0,0.0,2025-03-08T20:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,28,0,185138,0,1,1,0.0,0,1718,4763,3045,39,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,290,0,0,0.0,0.0,2025-03-15T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,29,0,197508,0,2,1,0.0,0,-325,3557,3882,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,30,0,181979,0,0,1,0.0,0,-3494,6183,9677,39,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,306,0,0,0.0,0.0,2025-04-05T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,31,0,180716,0,2,1,0.0,0,-1271,3684,4955,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,181860,0,2,4,0.0,0,475,3944,3469,39,True,0
0,1,24,1,0.0,536,0.00,0.00,0.00,1.32,328,0,0,1.1,11.4,2025-04-20T13:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,33,2,192436,1,1,0,0.0,7,1596,5509,3913,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,340,0,0,0.0,0.0,2025-04-26T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,34,0,227183,0,0,3,0.0,0,11521,15443,3922,39,True,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,349,0,0,0.0,0.0,2025-05-02T19:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,35,0,197755,0,0,1,0.0,0,2454,6479,4025,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,196845,0,2,0,0.0,0,-826,3796,4622,39,True,0
0,0,5,0,0.0,536,0.00,0.00,0.00,1.69,366,4,0,4.9,48.6,2025-05-20T19:00:00Z,90,0,0,0,0,0,0,0,False,7,0,0,0,0,37,6,194968,1,2,4,0.0,2,-1784,1682,3466,39,False,0
0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,380,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,38,0,193542,0,1,1,0.0,0,-1672,2552,4224,39,True,0
