goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,3,Sub,Liverpool,Aston Villa,2,1,2021-04-10,14739,2020,461205,0,0,0,0,0,0.07299438118934631,0.07299438118934631
0,0,0,12,Sub,Aston Villa,Fulham,3,1,2021-04-04,14726,2020,460392,0,0,0,0,0,0.7206757068634033,0.7206757068634033
0,0,0,60,MC,Newcastle United,Aston Villa,1,1,2021-03-12,14712,2020,455955,0.04240034520626068,0,2,0,0,0.04240034520626068,0
0,0,0,6,Sub,Aston Villa,Wolverhampton Wanderers,0,0,2021-03-06,14695,2020,454760,0,0,0,0,0,0,0
0,0,0,69,MC,Sheffield United,Aston Villa,1,0,2021-03-03,14721,2020,453802,0,0,0,0,0,0.598239541053772,0.598239541053772
0,0,0,80,MC,Leeds,Aston Villa,0,1,2021-02-27,14691,2020,452518,0.05611289665102959,0,1,0,0,0.05611289665102959,0
0,0,0,13,Sub,Aston Villa,Leicester,1,2,2021-02-21,14676,2020,451160,0,0,0,0,0,0.08953485637903214,0.08953485637903214
0,1,0.03796984627842903,9,Sub,Aston Villa,Arsenal,1,0,2021-02-06,14655,2020,447372,0,0,0,0,0.03796984627842903,0.03796984627842903,0
0,0,0,1,Sub,Aston Villa,Newcastle United,2,0,2021-01-23,14535,2020,444395,0,0,0,0,0,0,0
0,0,0,20,Sub,Manchester City,Aston Villa,2,0,2021-01-20,14089,2020,443444,0,0,0,0,0,0,0
0,0,0,10,Sub,Manchester United,Aston Villa,2,1,2021-01-01,14596,2020,438894,0,0,0,0,0,0,0
0,2,0.11177148669958115,6,Sub,Chelsea,Aston Villa,1,1,2020-12-28,14586,2020,438374,0,0,0,0,0.11177148669958115,0.021122697740793228,0
0,0,0,1,Sub,Aston Villa,Crystal Palace,3,0,2020-12-26,14576,2020,438113,0,0,0,0,0,0,0
0,2,0.08488737046718597,90,MC,Wolverhampton Wanderers,Aston Villa,0,1,2020-12-12,14552,2020,432772,0.029147323220968246,0,1,0,0.08488737046718597,0.09414659440517426,0
0,0,0,9,Sub,Fulham,Aston Villa,0,3,2020-09-28,14114,2020,418659,0,0,0,0,0,0,0
