assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,101,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,11,0,15759,0,2,3,0.0,0,-797,0,797,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,113,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,12,0,15011,0,2,1,0.0,0,-742,0,742,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,13,0,14519,0,4,2,0.0,0,-507,0,507,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,133,0,0,0.0,0.0,2024-12-05T20:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,14,0,14068,0,0,1,0.0,0,-470,0,470,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,15,0,13604,0,2,1,0.0,0,-451,0,451,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,16,0,13205,0,1,1,0.0,0,-419,0,419,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,17,0,12839,0,3,0,0.0,0,-367,0,367,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,18,0,12391,0,0,0,0.0,0,-445,0,445,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,185,0,0,0.0,0.0,2024-12-29T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,19,0,12072,0,2,2,0.0,0,-327,0,327,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,192,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,20,0,11778,0,0,1,0.0,0,-296,0,296,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,208,0,0,0.0,0.0,2025-01-14T19:30:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,21,0,11543,0,2,2,0.0,0,-235,0,235,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,218,0,0,0.0,0.0,2025-01-18T12:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,22,0,11403,0,4,1,0.0,0,-154,0,154,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,222,0,0,0.0,0.0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,23,0,11240,0,0,5,0.0,0,-158,0,158,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,24,0,11130,0,2,0,0.0,0,-110,0,110,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,248,0,0,0.0,0.0,2025-02-15T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,25,0,10975,0,3,1,0.0,0,-156,0,156,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,253,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,26,0,10894,0,1,0,0.0,0,-88,0,88,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,27,0,10835,0,1,2,0.0,0,-58,0,58,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,278,0,0,0.0,0.0,2025-03-09T14:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,28,0,10741,0,2,2,0.0,0,-95,0,95,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,283,0,0,0.0,0.0,2025-03-15T17:30:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,29,0,10636,0,2,1,0.0,0,-81,0,81,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,10606,0,2,1,0.0,0,-56,0,56,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,310,0,0,0.0,0.0,2025-04-05T14:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,31,0,10570,0,2,2,0.0,0,-38,0,38,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,312,0,0,0.0,0.0,2025-04-14T19:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,10518,0,0,1,0.0,0,-52,0,52,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,323,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,33,0,10477,0,0,0,0.0,0,-38,0,38,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,332,0,0,0.0,0.0,2025-04-27T13:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,34,0,10437,0,1,1,0.0,0,-34,0,34,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,341,0,0,0.0,0.0,2025-05-03T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,35,0,10425,0,2,1,0.0,0,-21,0,21,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,10402,0,1,0,0.0,0,-22,0,22,45,True,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,369,0,0,0.0,0.0,2025-05-20T19:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,37,0,10380,0,1,3,0.0,0,-24,0,24,45,False,0
0,0,0,0,0.0,61,0.00,0.00,0.00,0.00,371,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,38,0,10345,0,0,2,0.0,0,-31,0,31,45,True,0
