h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.40363,0.318261,1.40363,0.318261,"{'att': 332, 'def': 37}","{'att': 225, 'def': 29}",3,3,1,0,2.3066999999999998,w,2023-04-02 13:00:00,1,0,0,3,1.085369
h,0.83342,2.84091,0.83342,2.84091,"{'att': 278, 'def': 24}","{'att': 159, 'def': 25}",3,11,1,5,0.2293,l,2023-04-05 19:00:00,0,0,1,0,-2.0074899999999998
a,1.23261,0.456524,1.23261,0.456524,"{'att': 315, 'def': 19}","{'att': 77, 'def': 18}",4,9,1,0,2.0868,w,2023-04-08 14:00:00,1,0,0,3,0.776086
h,1.96095,2.71782,1.19978,1.95665,"{'att': 316, 'def': 20}","{'att': 104, 'def': 16}",4,10,2,2,0.7921,d,2023-04-16 13:00:00,0,1,0,1,-0.7568699999999999
a,2.52322,0.974687,2.52322,0.974687,"{'att': 308, 'def': 22}","{'att': 159, 'def': 17}",8,8,4,0,2.4041999999999994,w,2023-04-23 13:00:00,1,0,0,3,1.548533
h,0.939348,1.7045,0.939348,1.7045,"{'att': 491, 'def': 19}","{'att': 153, 'def': 32}",2,12,1,2,0.7462,l,2023-04-26 18:45:00,0,0,1,0,-0.7651519999999999
a,1.98262,2.31888,1.98262,1.55771,"{'att': 245, 'def': 28}","{'att': 151, 'def': 20}",1,13,3,4,1.1248999999999998,l,2023-04-29 11:30:00,0,0,1,0,0.4249100000000001
a,0.492075,2.99908,0.492075,2.99908,"{'att': 393, 'def': 12}","{'att': 164, 'def': 24}",2,15,0,3,0.123,l,2023-05-03 19:00:00,0,0,1,0,-2.5070050000000004
h,1.76618,1.1942,1.76618,1.1942,"{'att': 375, 'def': 13}","{'att': 178, 'def': 23}",4,15,1,0,1.8431,w,2023-05-07 18:00:00,1,0,0,3,0.5719800000000002
a,0.203312,4.42571,0.203312,4.42571,"{'att': 287, 'def': 15}","{'att': 246, 'def': 19}",2,7,0,2,0.0057,l,2023-05-14 13:00:00,0,0,1,0,-4.222397999999999
h,2.48001,0.645828,2.48001,0.645828,"{'att': 165, 'def': 17}","{'att': 287, 'def': 29}",15,8,3,1,2.6020000000000003,w,2023-05-21 12:30:00,1,0,0,3,1.8341820000000002
a,0.970352,2.03013,0.970352,2.03013,"{'att': 313, 'def': 20}","{'att': 308, 'def': 21}",8,8,1,2,0.6372,l,2023-05-28 15:30:00,0,0,1,0,-1.059778
