name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Jason Steele,GK,Brighton,0.5,0,0,0,0,0.0,102,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,75605,2,1,0.0,0,0,0,0,40,False,0,1
Tosin Adarabioyo,DEF,Fulham,0.4,0,0,11,0,0.4,209,4,2,0,1.9,18.4,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,5971,2,2,0.0,1,0,0,0,45,True,0,1
Kalvin Phillips,MID,Man City,2.6,0,0,3,0,0.5,325,10,0,0,0.1,0.6,2022-08-07T15:30:00Z,1,19,0,0,0,0,1,0,45423,2,0,0.0,1,0,0,0,50,False,0,1
Carlos Ribeiro Dias,MID,Nott'm Forest,0.5,0,0,0,0,0.0,383,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,42723,0,2,0.0,0,0,0,0,45,False,0,1
Marek Rodák,GK,Fulham,0.7,0,0,11,0,0.0,213,4,2,0,1.0,10.2,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,1,12206,2,2,0.0,1,0,0,0,45,True,0,1
Ryan Fraser,MID,Newcastle,2.5,0,0,4,0,10.3,359,7,0,0,1.3,2.2,2022-08-06T14:00:00Z,9,16,0,0,0,0,1,0,14743,0,2,0.0,1,0,0,0,55,True,0,1
Luke Thomas,DEF,Leicester,1.9,0,0,0,0,0.0,270,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,8036,2,2,0.0,0,0,0,0,45,True,0,1
Karl Darlow,GK,Newcastle,1.5,0,0,0,0,0.0,353,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,236781,0,2,0.0,0,0,0,0,40,True,0,1
Rodrigo Hernandez,MID,Man City,3.2,0,0,18,1,5.8,315,10,0,0,2.3,16.0,2022-08-07T15:30:00Z,88,19,0,0,0,0,1,0,220268,2,0,1.0,3,0,0,0,60,False,0,1
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,4.1,0,0,3,0,11.5,326,9,0,0,3.6,4.6,2022-08-07T13:00:00Z,37,5,0,0,0,0,1,0,352984,2,1,20.0,1,0,0,0,105,True,0,1
Fraser Forster,GK,Spurs,1.5,0,0,0,0,0.0,426,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,0,1,0,525074,1,4,0.0,0,0,0,0,40,True,0,1
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,278,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,1145,2,2,0.0,0,0,0,0,50,False,0,1
Jack Grealish,MID,Man City,3.4,0,0,19,1,29.2,305,10,0,0,5.0,7.2,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,327616,2,0,14.0,3,0,0,0,70,False,0,1
James McAtee,MID,Man City,0.0,0,0,0,0,0.0,317,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,19,0,0,0,0,1,0,1259,2,0,0.0,0,0,0,0,45,False,0,1
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,415,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,2166,1,4,0.0,0,0,0,0,45,False,0,1
Chris Wood,FWD,Newcastle,2.3,0,0,2,0,0.0,354,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,1,16,0,0,0,0,1,0,137537,0,2,0.0,1,0,0,0,60,True,0,1
Darren Randolph,GK,West Ham,0.0,0,0,0,0,0.0,571,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,13,0,0,0,0,1,0,0,2,0,0.0,0,0,0,0,40,True,0,1
Leander Dendoncker,MID,Wolves,2.1,0,0,21,0,16.5,479,5,2,0,7.8,24.4,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,13096,1,2,37.0,2,0,0,0,50,False,0,1
Allan Marques Loureiro,MID,Everton,1.1,0,0,0,0,0.0,183,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,6,0,0,0,0,1,0,11086,1,0,0.0,0,0,0,0,50,True,0,1
Ibrahima Konaté,DEF,Liverpool,0.0,0,0,0,0,0.0,290,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,57031,2,2,0.0,0,0,0,0,50,False,0,1
Aleksandar Mitrović,FWD,Fulham,0.6,0,3,57,0,14.7,210,4,2,2,15.5,82.0,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,509091,2,2,58.0,13,0,0,0,65,True,0,1
Christian Eriksen,MID,Man Utd,2.8,0,0,17,0,42.5,519,9,2,0,10.5,28.6,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,361793,2,1,34.0,2,0,0,0,65,True,0,1
Joe Willock,MID,Newcastle,2.1,0,0,6,1,14.4,373,7,0,0,8.1,14.0,2022-08-06T14:00:00Z,79,16,0,0,0,0,1,0,45439,0,2,53.0,3,0,0,0,50,True,0,1
Yerson Mosquera Valdelamar,DEF,Wolves,1.5,0,0,0,0,0.0,494,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,77448,1,2,0.0,0,0,0,0,40,False,0,1
Roméo Lavia,MID,Southampton,0.5,0,0,17,0,4.3,321,8,4,0,2.4,12.0,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,18407,1,4,8.0,2,0,0,0,45,False,0,1
Kristoffer Ajer,DEF,Brentford,0.0,0,0,0,0,0.0,84,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,0,1,0,2520,2,2,0.0,0,0,0,0,45,False,0,1
Will Hughes,MID,Crystal Palace,1.1,0,0,2,0,0.3,163,1,0,0,0.4,0.0,2022-08-05T19:00:00Z,4,1,0,0,0,0,1,0,2729,2,0,4.0,1,0,0,0,50,True,0,1
Joe Ayodele-Aribo,MID,Southampton,1.5,0,0,5,0,5.2,512,8,4,0,3.8,9.4,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,50924,1,4,23.0,2,0,0,0,55,False,0,1
Orel Mangala,MID,Nott'm Forest,1.1,0,0,3,0,0.2,536,7,1,0,0.3,2.6,2022-08-06T14:00:00Z,15,15,0,0,0,0,1,0,3088,0,2,0.0,1,0,0,0,50,False,0,1
Luke Plange,FWD,Crystal Palace,0.5,0,0,0,0,0.0,496,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,124669,2,0,0.0,0,0,0,0,45,True,0,1
Cristian Romero,DEF,Spurs,2.8,0,0,11,0,2.7,443,8,1,0,2.4,8.0,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,200747,1,4,13.0,2,0,0,0,50,True,0,1
Jack Harrison,MID,Leeds,1.7,1,2,25,0,78.8,233,5,1,0,12.4,34.8,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,79451,1,2,10.0,6,0,0,0,60,True,1,1
Luis Sinisterra Lucumí,MID,Leeds,0.0,0,0,0,0,0.0,508,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,17295,1,2,0.0,0,0,0,0,65,True,0,1
Nathaniel Clyne,DEF,Crystal Palace,1.4,0,0,9,0,14.1,157,1,2,0,2.3,8.4,2022-08-05T19:00:00Z,90,1,0,0,0,0,1,0,11649,2,0,0.0,0,0,0,0,45,True,1,1
Stuart Armstrong,MID,Southampton,1.1,0,0,0,0,2.6,405,8,2,0,0.6,3.4,2022-08-06T14:00:00Z,45,18,0,0,0,0,1,0,9352,1,4,0.0,1,0,0,0,50,False,0,1
Oriol Romeu Vidal,MID,Southampton,1.1,0,0,9,0,3.8,402,8,4,0,1.2,6.2,2022-08-06T14:00:00Z,74,18,0,0,0,0,1,0,10319,1,4,2.0,2,0,0,0,50,False,0,1
Tyler Roberts,MID,Leeds,0.0,0,0,0,0,0.0,229,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,101,1,2,0.0,0,0,0,0,50,True,0,1
Harrison Ashby,DEF,West Ham,0.0,0,0,0,0,0.0,555,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,13,0,0,0,0,1,0,13517,2,0,0.0,0,0,0,0,40,True,0,1
Lewis Brunt,DEF,Leicester,1.0,0,0,0,0,0.0,273,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,23323,2,2,0.0,0,0,0,0,40,True,0,1
Matt Ritchie,DEF,Newcastle,2.4,0,0,0,0,0.0,350,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,8772,0,2,0.0,0,0,0,0,45,True,0,1
Jannik Vestergaard,DEF,Leicester,1.0,0,0,0,0,0.0,253,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,799742,2,2,0.0,0,0,0,0,40,True,0,1
Enock Mwepu,MID,Brighton,1.5,0,0,5,0,11.8,118,9,0,0,2.1,9.2,2022-08-07T13:00:00Z,14,14,0,0,0,0,1,0,10644,2,1,0.0,1,0,0,0,55,False,0,1
Trevoh Chalobah,DEF,Chelsea,2.8,0,0,0,0,0.0,141,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,8,0,0,0,0,1,0,55821,1,0,0.0,0,0,0,0,50,False,0,1
Chris Richards,DEF,Crystal Palace,1.4,0,0,0,0,0.0,530,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,5048,2,0,0.0,0,0,0,0,45,True,0,1
Diogo Teixeira da Silva,FWD,Liverpool,0.0,0,0,0,0,0.0,288,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,55789,2,2,0.0,0,0,0,0,90,False,0,1
Martin Dubravka,GK,Newcastle,2.7,0,0,0,0,0.0,355,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,97650,0,2,0.0,0,0,0,0,45,True,0,1
Rodrigo Moreno,MID,Leeds,1.7,0,0,23,0,1.1,225,5,1,1,6.5,34.8,2022-08-06T14:00:00Z,64,20,0,0,0,0,1,0,73866,1,2,29.0,7,0,0,0,60,True,0,1
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,490,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,309,1,2,0.0,0,0,0,0,50,False,0,1
Mohammed Salisu,DEF,Southampton,1.4,0,0,7,0,17.0,420,8,4,0,3.9,16.0,2022-08-06T14:00:00Z,90,18,1,0,0,0,1,0,14247,1,4,6.0,-2,0,0,0,45,False,0,1
Frederico Rodrigues de Paula Santos,MID,Man Utd,2.5,0,0,6,0,3.1,331,9,2,0,0.5,1.0,2022-08-07T13:00:00Z,52,5,0,0,0,0,1,0,83919,2,1,1.0,1,0,0,0,55,True,0,1
Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,117,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,3484,2,1,0.0,0,0,0,0,45,False,0,1
Jean-Philippe Mateta,FWD,Crystal Palace,1.0,0,0,2,0,11.2,168,1,1,0,2.0,0.0,2022-08-05T19:00:00Z,32,1,0,0,0,0,1,0,67462,2,0,10.0,1,0,0,0,55,True,0,1
Salomón Rondón,FWD,Everton,0.0,0,0,0,0,0.0,177,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,6,0,0,0,0,1,0,15143,1,0,0.0,0,0,0,0,50,True,0,1
Liam Cooper,DEF,Leeds,0.0,0,0,0,0,0.0,221,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,6072,1,2,0.0,0,0,0,0,45,True,0,1
Erling Haaland,FWD,Man City,5.0,0,3,48,1,4.8,318,10,0,2,14.0,62.6,2022-08-07T15:30:00Z,77,19,0,0,0,0,1,0,3398599,2,0,73.0,13,0,0,0,115,False,0,1
Lewis Cook,MID,Bournemouth,1.1,0,0,4,0,0.3,67,2,0,0,0.8,7.2,2022-08-06T14:00:00Z,18,2,0,0,0,0,1,0,4802,0,2,0.0,1,0,0,0,50,True,0,1
Remi Matthews,GK,Crystal Palace,0.0,0,0,0,0,0.0,495,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,4672,2,0,0.0,0,0,0,0,40,True,0,1
Phil Foden,MID,Man City,3.7,0,0,19,1,30.4,314,10,0,0,5.1,10.8,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,482845,2,0,10.0,3,0,0,0,80,False,0,1
Calvin Ramsay,DEF,Liverpool,2.5,0,0,0,0,0.0,298,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,19927,2,2,0.0,0,0,0,0,40,False,0,1
Steve Cook,DEF,Nott'm Forest,1.4,0,0,0,0,0.0,379,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,14958,0,2,0.0,0,0,0,0,45,False,0,1
Ryan Bertrand,DEF,Leicester,0.0,0,0,0,0,0.0,250,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,3217,2,2,0.0,0,0,0,0,40,True,0,1
Sékou Mara,FWD,Southampton,1.0,0,0,0,0,0.0,528,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,7535,1,4,0.0,0,0,0,0,55,False,0,1
Scott McTominay,MID,Man Utd,2.1,0,0,1,0,2.1,338,9,2,0,2.7,0.0,2022-08-07T13:00:00Z,77,5,0,0,0,0,1,0,22964,2,1,26.0,1,0,0,0,50,True,1,1
Xande Nascimento da Costa Silva,MID,Nott'm Forest,0.0,0,0,0,0,0.0,390,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,1985,0,2,0.0,0,0,0,0,50,False,0,1
Dean Henderson,GK,Nott'm Forest,1.7,0,0,26,0,0.0,398,7,2,0,4.8,48.0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,7,434219,0,2,0.0,3,0,0,0,45,False,0,1
Jack Stacey,DEF,Bournemouth,1.4,0,0,0,0,0.0,65,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,2,0,0,0,0,1,0,4613,0,2,0.0,0,0,0,0,45,True,0,1
Mason Holgate,DEF,Everton,1.4,0,0,9,0,0.5,192,3,1,0,4.8,27.0,2022-08-06T16:30:00Z,72,6,0,0,0,0,1,0,10243,1,0,20.0,1,0,0,0,45,True,1,1
Steven Alzate,MID,Brighton,0.5,0,0,0,0,0.0,115,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,17451,2,1,0.0,0,0,0,0,45,False,0,1
Mateusz Klich,MID,Leeds,1.1,0,0,2,0,5.3,223,5,0,0,1.1,1.4,2022-08-06T14:00:00Z,25,20,0,0,0,0,1,0,10219,1,2,4.0,1,0,0,0,50,True,0,1
Armel Bella-Kotchap,DEF,Southampton,1.4,0,0,0,0,0.0,423,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,5917,1,4,0.0,0,0,0,0,45,False,0,1
Ainsley Maitland-Niles,MID,Arsenal,2.1,0,0,0,0,0.0,21,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,4894,2,0,0.0,0,0,0,0,50,False,0,1
James Milner,MID,Liverpool,2.5,0,0,1,0,4.7,274,4,1,0,1.6,3.2,2022-08-06T11:30:00Z,31,9,0,0,0,0,1,0,62173,2,2,8.0,1,0,0,0,45,False,0,1
Keane Lewis-Potter,MID,Brentford,2.0,0,0,3,0,0.2,515,6,0,0,0.7,5.2,2022-08-07T13:00:00Z,31,10,0,0,0,0,1,0,9624,2,2,2.0,1,0,0,0,55,False,0,1
Kevin De Bruyne,MID,Man City,4.7,1,0,24,1,43.0,301,10,0,0,8.7,24.4,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,1151254,2,0,20.0,6,0,0,0,120,False,0,1
Sepp van den Berg,DEF,Liverpool,2.5,0,0,0,0,0.0,500,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,19524,2,2,0.0,0,0,0,0,40,False,0,1
Joe Gelhardt,FWD,Leeds,1.0,0,0,2,0,0.3,242,5,0,0,0.1,0.2,2022-08-06T14:00:00Z,6,20,0,0,0,0,1,0,57638,1,2,0.0,1,0,0,0,55,True,0,1
Diego Carlos Santos Silva,DEF,Aston Villa,2.8,0,0,8,0,1.5,50,2,2,0,1.4,9.2,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,92038,0,2,3.0,1,0,0,0,50,False,0,1
Lucas Rodrigues Moura da Silva,MID,Spurs,2.7,0,0,5,0,0.0,431,8,0,0,0.2,2.0,2022-08-06T14:00:00Z,4,17,0,0,0,0,1,0,28944,1,4,0.0,1,0,0,0,60,True,0,1
Ben Mee,DEF,Brentford,1.9,0,0,9,0,1.4,526,6,2,0,0.9,7.8,2022-08-07T13:00:00Z,58,10,0,0,0,0,1,0,26294,2,2,0.0,0,0,0,0,45,False,0,1
Marcus Oliveira Alencar,MID,Arsenal,2.1,0,0,0,0,0.0,27,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,8331,2,0,0.0,0,0,0,0,50,False,0,1
Daniel James,MID,Leeds,0.0,0,0,0,0,0.0,231,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,1667,1,2,0.0,0,0,0,0,60,True,0,1
João Cancelo,DEF,Man City,4.7,0,2,27,1,18.9,306,10,0,0,3.9,15.4,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,3569038,2,0,5.0,7,0,0,0,70,False,1,1
Bruno Borges Fernandes,MID,Man Utd,3.7,0,0,14,0,35.0,333,9,2,0,5.4,10.8,2022-08-07T13:00:00Z,89,5,0,0,0,0,1,0,266667,2,1,8.0,2,0,0,0,100,True,0,1
Tyler Adams,MID,Leeds,1.1,0,0,7,0,12.0,506,5,1,0,2.4,11.0,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,12574,1,2,1.0,1,0,0,0,50,True,1,1
Ciaran Clark,DEF,Newcastle,0.0,0,0,0,0,0.0,352,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,456,0,2,0.0,0,0,0,0,45,True,0,1
Mark Travers,GK,Bournemouth,1.7,0,0,24,1,0.0,72,2,0,0,1.5,14.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,2,24837,0,2,0.0,6,0,0,0,45,True,0,1
Jordan Zemura,DEF,Bournemouth,1.4,0,0,25,1,10.7,76,2,0,0,3.4,21.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,9212,0,2,2.0,6,0,0,0,45,True,0,1
Rob Holding,DEF,Arsenal,2.4,0,0,0,0,0.0,5,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,14331,2,0,0.0,0,0,0,0,45,False,0,1
Ivan Toney,FWD,Brentford,2.2,0,2,26,0,25.8,80,6,2,1,8.8,39.0,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,438961,2,2,23.0,8,0,0,0,70,False,0,1
Pontus Jansson,DEF,Brentford,1.9,0,0,17,0,0.5,78,6,2,0,1.9,18.2,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,186616,2,2,0.0,1,0,0,0,45,False,0,1
Marvelous Nakamba,MID,Aston Villa,1.5,0,0,0,0,0.0,41,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,3,0,0,0,0,1,0,16834,0,2,0.0,0,0,0,0,45,False,0,1
Nampalys Mendy,MID,Leicester,1.0,0,0,0,0,0.0,252,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,50019,2,2,0.0,0,0,0,0,45,True,0,1
Fábio Ferreira Vieira,MID,Arsenal,2.0,0,0,0,0,0.0,25,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,15311,2,0,0.0,0,0,0,0,60,False,0,1
Ryan Fredericks,DEF,Bournemouth,0.0,0,0,0,0,0.0,59,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,2,0,0,0,0,1,0,3897,0,2,0.0,0,0,0,0,45,True,0,1
Stanley Mills,MID,Everton,0.5,0,0,0,0,0.0,560,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,6,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,45,True,0,1
Kurt Zouma,DEF,West Ham,0.9,0,0,8,0,0.2,461,10,2,0,1.5,13.0,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,110499,2,0,2.0,1,0,0,0,45,True,0,1
Luke Mbete-Tabu,DEF,Man City,2.0,0,0,0,0,0.0,320,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,19,0,0,0,0,1,0,9893,2,0,0.0,0,0,0,0,40,False,0,1
Armstrong Oko-Flex,MID,West Ham,0.0,0,0,0,0,0.0,572,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,13,0,0,0,0,1,0,0,2,0,0.0,0,0,0,0,45,True,0,1
Taiwo Awoniyi,FWD,Nott'm Forest,1.3,0,0,6,0,0.4,397,7,1,0,0.4,3.2,2022-08-06T14:00:00Z,27,15,0,0,0,0,1,0,91393,0,2,0.0,1,0,0,0,60,False,0,1
Harry Winks,MID,Spurs,1.5,0,0,0,0,0.0,434,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,0,1,0,167072,1,4,0.0,0,0,0,0,45,True,0,1
Levi Colwill,DEF,Brighton,1.4,0,0,3,0,0.1,559,9,0,0,0.0,0.2,2022-08-07T13:00:00Z,1,14,0,0,0,0,1,0,2027,2,1,0.0,1,0,0,0,45,False,0,1
Ricardo Barbosa Pereira,DEF,Leicester,0.0,0,0,0,0,0.0,256,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,7966,2,2,0.0,0,0,0,0,45,True,0,1
Moussa Djenepo,MID,Southampton,1.1,1,0,16,0,12.2,418,8,4,0,4.7,22.6,2022-08-06T14:00:00Z,71,18,0,0,0,0,1,0,2795,1,4,12.0,5,0,0,0,50,False,0,1
Morgan Gibbs-White,MID,Wolves,2.5,0,0,9,0,23.6,493,5,2,0,4.8,11.6,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,13163,1,2,13.0,2,0,0,0,55,False,0,1
Mads Bidstrup,MID,Brentford,0.0,0,0,0,0,0.0,99,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,0,1,0,237,2,2,0.0,0,0,0,0,45,False,0,1
