assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,211,0,0,0,0.0,12082,0.0,0,2019-01-12T15:00:00Z,12 Jan 15:00,0,0,0,0,0,12,0,0,0,0,0,0,22,0,3113,0,0,0,1,0,0.0,0,308,1029,721,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,226,0,0,0,0.0,12656,0.0,0,2019-01-19T15:00:00Z,19 Jan 15:00,0,0,0,0,0,14,0,0,0,0,0,0,23,0,3239,0,0,0,1,2,0.0,0,97,604,507,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,233,0,0,0,0.0,13235,0.0,0,2019-01-29T19:45:00Z,29 Jan 19:45,0,0,0,0,0,9,0,0,0,0,0,0,24,0,3432,0,0,0,2,4,0.0,0,142,630,488,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,241,0,0,0,0.0,13875,0.0,0,2019-02-02T15:00:00Z,02 Feb 15:00,0,0,0,0,0,18,0,0,0,0,0,0,25,0,4427,0,0,0,0,0,0.0,0,388,803,415,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,251,0,0,0,0.0,14472,0.0,0,2019-02-09T17:30:00Z,09 Feb 17:30,0,0,0,0,0,4,0,0,0,0,0,0,26,0,4855,0,0,0,3,1,0.0,0,792,1448,656,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,275,0,0,0,0.0,15556,0.0,0,2019-02-26T19:45:00Z,26 Feb 19:45,0,0,0,0,0,11,0,0,0,0,0,0,28,0,6333,0,0,0,1,2,0.0,0,506,879,373,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,282,0,0,0,0.0,16161,0.0,0,2019-03-02T15:00:00Z,02 Mar 15:00,0,0,0,0,0,10,0,0,0,0,0,0,29,0,6895,0,0,0,0,1,0.0,0,514,991,477,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,294,0,0,0,0.0,16767,0.0,0,2019-03-09T12:30:00Z,09 Mar 12:30,0,0,0,0,0,7,0,0,0,0,0,0,30,0,7265,0,0,0,2,1,0.0,0,288,898,610,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,312,0,0,0,0.0,17952,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,16,0,0,0,0,0,0,32,0,7582,0,0,0,1,0,0.0,0,41,683,642,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,265,0,0,0,0.0,17951,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,6,0,0,0,0,0,0,32,0,7582,0,0,0,0,3,0.0,0,41,683,642,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,331,0,0,0,0.0,19012,0.0,0,2019-04-13T14:00:00Z,13 Apr 15:00,0,0,0,0,0,2,0,0,0,0,0,0,34,0,7198,0,0,0,5,0,0.0,0,-85,298,383,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,302,0,0,0,0.0,19011,0.0,0,2019-04-16T18:45:00Z,16 Apr 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,7198,0,0,0,2,0,0.0,0,-85,298,383,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,350,0,0,0,0.0,19846,0.0,0,2019-04-20T14:00:00Z,20 Apr 15:00,0,0,0,0,0,20,0,0,0,0,0,0,35,0,7160,0,0,0,0,0,0.0,0,-96,309,405,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,328,0,0,0,0.0,19845,0.0,0,2019-04-23T18:45:00Z,23 Apr 19:45,0,0,0,0,0,17,0,0,0,0,0,0,35,0,7160,0,0,0,0,1,0.0,0,-96,309,405,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,351,0,0,0,0.0,20487,0.0,0,2019-04-27T16:30:00Z,27 Apr 17:30,0,0,0,0,0,15,0,0,0,0,0,0,36,0,7134,0,0,0,1,1,0.0,0,-38,225,263,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,361,0,0,0,0.0,21102,0.0,0,2019-05-05T15:30:00Z,05 May 16:30,0,0,0,0,0,1,0,0,0,0,0,0,37,0,7145,0,0,0,1,1,0.0,0,-6,293,299,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,371,0,0,0,0.0,21718,0.0,0,2019-05-12T14:00:00Z,12 May 15:00,0,0,0,0,0,13,0,0,0,0,0,0,38,0,7168,0,0,0,4,1,0.0,0,0,416,416,45,True,0,0
